Scarab gitrev: 3541854
Scarab started at Tue Oct  8 21:41:09 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (62.50 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 125.00 KIPS (83.33 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 83.33 KIPS (83.33 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 62.50 KIPS (76.92 KIPS)
** Heartbeat:  25% -- { 5000000 } -- 52.63 KIPS (70.42 KIPS)
** Heartbeat:  30% -- { 6000000 } -- 71.43 KIPS (70.59 KIPS)
** Heartbeat:  35% -- { 7000000 } -- 90.91 KIPS (72.92 KIPS)
** Heartbeat:  40% -- { 8000000 } -- 111.11 KIPS (76.19 KIPS)
** Heartbeat:  45% -- { 9000000 } -- 62.50 KIPS (74.38 KIPS)
** Heartbeat:  50% -- { 10000000 } -- 76.92 KIPS (74.63 KIPS)
** Heartbeat:  55% -- { 11000000 } -- 83.33 KIPS (75.34 KIPS)
** Heartbeat:  60% -- { 12000000 } -- 66.67 KIPS (74.53 KIPS)
** Heartbeat:  65% -- { 13000000 } -- 83.33 KIPS (75.14 KIPS)
** Heartbeat:  70% -- { 14000000 } -- 71.43 KIPS (74.87 KIPS)
** Heartbeat:  75% -- { 15000000 } -- 62.50 KIPS (73.89 KIPS)
** Heartbeat:  80% -- { 16000000 } -- 58.82 KIPS (72.73 KIPS)
** Heartbeat:  85% -- { 17000000 } -- 62.50 KIPS (72.03 KIPS)
** Heartbeat:  90% -- { 18000000 } -- 71.43 KIPS (72.00 KIPS)
** Heartbeat:  95% -- { 19000001 } -- 100.00 KIPS (73.08 KIPS)
** Core 0 Finished:    insts:20000000    cycles:78601993    time:24563122812500      -- 0.25 IPC (0.25 IPC) --  N/A  KIPS (73.53 KIPS)
Scarab finished at Tue Oct  8 21:45:41 2024

