Scarab gitrev: 3541854
Scarab started at Tue Oct  8 21:46:17 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (100.00 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 71.43 KIPS (83.33 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 100.00 KIPS (88.24 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 71.43 KIPS (83.33 KIPS)
** Heartbeat:  25% -- { 5000000 } -- 71.43 KIPS (80.65 KIPS)
** Heartbeat:  30% -- { 6000000 } -- 71.43 KIPS (78.95 KIPS)
** Heartbeat:  35% -- { 7000000 } -- 71.43 KIPS (77.78 KIPS)
** Heartbeat:  40% -- { 8000000 } -- 66.67 KIPS (76.19 KIPS)
** Heartbeat:  45% -- { 9000000 } -- 71.43 KIPS (75.63 KIPS)
** Heartbeat:  50% -- { 10000000 } -- 55.56 KIPS (72.99 KIPS)
** Heartbeat:  55% -- { 11000000 } -- 71.43 KIPS (72.85 KIPS)
** Heartbeat:  60% -- { 12000000 } -- 90.91 KIPS (74.07 KIPS)
** Heartbeat:  65% -- { 13000000 } -- 41.67 KIPS (69.89 KIPS)
** Heartbeat:  70% -- { 14000000 } -- 76.92 KIPS (70.35 KIPS)
** Heartbeat:  75% -- { 15000000 } -- 55.56 KIPS (69.12 KIPS)
** Heartbeat:  80% -- { 16000000 } -- 62.50 KIPS (68.67 KIPS)
** Heartbeat:  85% -- { 17000000 } -- 83.33 KIPS (69.39 KIPS)
** Heartbeat:  90% -- { 18000000 } -- 45.45 KIPS (67.42 KIPS)
** Heartbeat:  95% -- { 19000000 } -- 58.82 KIPS (66.90 KIPS)
** Heartbeat: 100% -- { 20000000 } -- 71.43 KIPS (67.11 KIPS)
** Core 0 Finished:    insts:20000000    cycles:80009400    time:25002937500000      -- 0.25 IPC (0.25 IPC) --  N/A  KIPS (67.11 KIPS)
Scarab finished at Tue Oct  8 21:51:15 2024

