Scarab gitrev: 3541854
Scarab started at Tue Oct  8 21:48:44 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000001 } -- 0.00 KIPS (90.91 KIPS)
** Heartbeat:  10% -- { 2000001 } -- 200.00 KIPS (125.00 KIPS)
** Heartbeat:  15% -- { 3000001 } -- 71.43 KIPS (100.00 KIPS)
** Heartbeat:  20% -- { 4000002 } -- 90.91 KIPS (97.56 KIPS)
** Heartbeat:  25% -- { 5000003 } -- 76.92 KIPS (92.59 KIPS)
** Heartbeat:  30% -- { 6000003 } -- 76.92 KIPS (89.55 KIPS)
** Heartbeat:  35% -- { 7000003 } -- 125.00 KIPS (93.33 KIPS)
** Heartbeat:  40% -- { 8000004 } -- 125.00 KIPS (96.39 KIPS)
** Heartbeat:  45% -- { 9000005 } -- 111.11 KIPS (97.83 KIPS)
** Heartbeat:  50% -- { 10000006 } -- 100.00 KIPS (98.04 KIPS)
** Heartbeat:  55% -- { 11000006 } -- 100.00 KIPS (98.21 KIPS)
** Heartbeat:  60% -- { 12000007 } -- 111.11 KIPS (99.17 KIPS)
** Heartbeat:  65% -- { 13000007 } -- 58.82 KIPS (94.20 KIPS)
** Heartbeat:  70% -- { 14000007 } -- 52.63 KIPS (89.17 KIPS)
** Heartbeat:  75% -- { 15000007 } -- 90.91 KIPS (89.29 KIPS)
** Heartbeat:  80% -- { 16000007 } -- 50.00 KIPS (85.11 KIPS)
** Heartbeat:  85% -- { 17000007 } -- 100.00 KIPS (85.86 KIPS)
** Heartbeat:  90% -- { 18000007 } -- 90.91 KIPS (86.12 KIPS)
** Heartbeat:  95% -- { 19000007 } -- 100.00 KIPS (86.76 KIPS)
** Core 0 Finished:    insts:20000000    cycles:44842914    time:14013410625000      -- 0.45 IPC (0.45 IPC) --  N/A  KIPS (86.96 KIPS)
Scarab finished at Tue Oct  8 21:52:34 2024

