Scarab gitrev: 3541854
Scarab started at Tue Oct  8 22:01:42 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (76.92 KIPS)
** Heartbeat:  10% -- { 2000006 } -- 66.67 KIPS (71.43 KIPS)
** Heartbeat:  15% -- { 3000010 } -- 62.50 KIPS (68.18 KIPS)
** Heartbeat:  20% -- { 4000011 } -- 76.92 KIPS (70.18 KIPS)
** Heartbeat:  25% -- { 5000011 } -- 66.67 KIPS (69.44 KIPS)
** Heartbeat:  30% -- { 6000018 } -- 100.00 KIPS (73.17 KIPS)
** Heartbeat:  35% -- { 7000020 } -- 62.50 KIPS (71.43 KIPS)
** Heartbeat:  40% -- { 8000025 } -- 58.82 KIPS (69.57 KIPS)
** Heartbeat:  45% -- { 9000025 } -- 125.00 KIPS (73.17 KIPS)
** Heartbeat:  50% -- { 10000025 } -- 50.00 KIPS (69.93 KIPS)
** Heartbeat:  55% -- { 11000031 } -- 66.67 KIPS (69.62 KIPS)
** Heartbeat:  60% -- { 12000031 } -- 58.82 KIPS (68.57 KIPS)
** Heartbeat:  65% -- { 13000032 } -- 62.50 KIPS (68.06 KIPS)
** Heartbeat:  70% -- { 14000032 } -- 111.11 KIPS (70.00 KIPS)
** Heartbeat:  75% -- { 15000033 } -- 90.91 KIPS (71.09 KIPS)
** Heartbeat:  80% -- { 16000035 } -- 55.56 KIPS (69.87 KIPS)
** Heartbeat:  85% -- { 17000035 } -- 58.82 KIPS (69.11 KIPS)
** Heartbeat:  90% -- { 18000035 } -- 111.11 KIPS (70.59 KIPS)
** Heartbeat:  95% -- { 19000038 } -- 100.00 KIPS (71.70 KIPS)
** Core 0 Finished:    insts:20000000    cycles:14147693    time:4421154062500       -- 1.41 IPC (1.41 IPC) --  N/A  KIPS (70.92 KIPS)
Scarab finished at Tue Oct  8 22:06:25 2024

