Scarab gitrev: 3541854
Scarab started at Mon Oct  7 22:43:08 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (45.45 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 71.43 KIPS (55.56 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 45.45 KIPS (51.72 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 55.56 KIPS (52.63 KIPS)
** Heartbeat:  25% -- { 5000000 } -- 41.67 KIPS (50.00 KIPS)
** Heartbeat:  30% -- { 6000000 } -- 52.63 KIPS (50.42 KIPS)
** Heartbeat:  35% -- { 7000000 } -- 50.00 KIPS (50.36 KIPS)
** Heartbeat:  40% -- { 8000000 } -- 43.48 KIPS (49.38 KIPS)
** Heartbeat:  45% -- { 9000000 } -- 47.62 KIPS (49.18 KIPS)
** Heartbeat:  50% -- { 10000000 } -- 50.00 KIPS (49.26 KIPS)
** Heartbeat:  55% -- { 11000000 } -- 41.67 KIPS (48.46 KIPS)
** Heartbeat:  60% -- { 12000000 } -- 47.62 KIPS (48.39 KIPS)
** Heartbeat:  65% -- { 13000000 } -- 45.45 KIPS (48.15 KIPS)
** Heartbeat:  70% -- { 14000000 } -- 55.56 KIPS (48.61 KIPS)
** Heartbeat:  75% -- { 15000000 } -- 52.63 KIPS (48.86 KIPS)
** Heartbeat:  80% -- { 16000000 } -- 41.67 KIPS (48.34 KIPS)
** Heartbeat:  85% -- { 17000000 } -- 47.62 KIPS (48.30 KIPS)
** Heartbeat:  90% -- { 18000000 } -- 32.26 KIPS (47.00 KIPS)
** Heartbeat:  95% -- { 19000000 } -- 66.67 KIPS (47.74 KIPS)
** Heartbeat: 100% -- { 20000000 } -- 43.48 KIPS (47.51 KIPS)
** Core 0 Finished:    insts:20000000    cycles:20834624    time:6510820000000       -- 0.96 IPC (0.96 IPC) --  N/A  KIPS (47.51 KIPS)
Scarab finished at Mon Oct  7 22:50:09 2024

