Scarab gitrev: 3541854
Scarab started at Mon Oct  7 22:47:02 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (50.00 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 55.56 KIPS (52.63 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 35.71 KIPS (45.45 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 50.00 KIPS (46.51 KIPS)
** Heartbeat:  25% -- { 5000000 } -- 47.62 KIPS (46.73 KIPS)
** Heartbeat:  30% -- { 6000000 } -- 40.00 KIPS (45.45 KIPS)
** Heartbeat:  35% -- { 7000000 } -- 50.00 KIPS (46.05 KIPS)
** Heartbeat:  40% -- { 8000000 } -- 83.33 KIPS (48.78 KIPS)
** Heartbeat:  45% -- { 9000000 } -- 55.56 KIPS (49.45 KIPS)
** Heartbeat:  50% -- { 10000000 } -- 55.56 KIPS (50.00 KIPS)
** Heartbeat:  55% -- { 11000000 } -- 58.82 KIPS (50.69 KIPS)
** Heartbeat:  60% -- { 12000000 } -- 66.67 KIPS (51.72 KIPS)
** Heartbeat:  65% -- { 13000000 } -- 47.62 KIPS (51.38 KIPS)
** Heartbeat:  70% -- { 14000000 } -- 35.71 KIPS (49.82 KIPS)
** Heartbeat:  75% -- { 15000000 } -- 50.00 KIPS (49.83 KIPS)
** Heartbeat:  80% -- { 16000000 } -- 34.48 KIPS (48.48 KIPS)
** Heartbeat:  85% -- { 17000000 } -- 55.56 KIPS (48.85 KIPS)
** Heartbeat:  90% -- { 18000000 } -- 29.41 KIPS (47.12 KIPS)
** Heartbeat:  95% -- { 19000000 } -- 41.67 KIPS (46.80 KIPS)
** Heartbeat: 100% -- { 20000000 } -- 47.62 KIPS (46.84 KIPS)
** Core 0 Finished:    insts:20000000    cycles:20337297    time:6355405312500       -- 0.98 IPC (0.98 IPC) --  N/A  KIPS (46.84 KIPS)
Scarab finished at Mon Oct  7 22:54:09 2024

