Scarab gitrev: 3541854
Scarab started at Mon Oct  7 22:50:18 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (71.43 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 76.92 KIPS (74.07 KIPS)
** Heartbeat:  15% -- { 3000003 } -- 55.56 KIPS (66.67 KIPS)
** Heartbeat:  20% -- { 4000004 } -- 55.56 KIPS (63.49 KIPS)
** Heartbeat:  25% -- { 5000008 } -- 125.00 KIPS (70.42 KIPS)
** Heartbeat:  30% -- { 6000008 } -- 90.91 KIPS (73.17 KIPS)
** Heartbeat:  35% -- { 7000011 } -- 71.43 KIPS (72.92 KIPS)
** Heartbeat:  40% -- { 8000014 } -- 71.43 KIPS (72.73 KIPS)
** Heartbeat:  45% -- { 9000017 } -- 142.86 KIPS (76.92 KIPS)
** Heartbeat:  50% -- { 10000018 } -- 76.92 KIPS (76.92 KIPS)
** Heartbeat:  55% -- { 11000018 } -- 71.43 KIPS (76.39 KIPS)
** Heartbeat:  60% -- { 12000021 } -- 52.63 KIPS (73.62 KIPS)
** Heartbeat:  65% -- { 13000021 } -- 62.50 KIPS (72.63 KIPS)
** Heartbeat:  70% -- { 14000021 } -- 71.43 KIPS (72.54 KIPS)
** Heartbeat:  75% -- { 15000023 } -- 100.00 KIPS (73.89 KIPS)
** Heartbeat:  80% -- { 16000025 } -- 55.56 KIPS (72.40 KIPS)
** Heartbeat:  85% -- { 17000025 } -- 111.11 KIPS (73.91 KIPS)
** Heartbeat:  90% -- { 18000025 } -- 76.92 KIPS (74.07 KIPS)
** Heartbeat:  95% -- { 19000025 } -- 66.67 KIPS (73.64 KIPS)
** Core 0 Finished:    insts:20000000    cycles:13369201    time:4177875312500       -- 1.50 IPC (1.50 IPC) --  N/A  KIPS (72.99 KIPS)
Scarab finished at Mon Oct  7 22:54:52 2024

