Scarab gitrev: 3541854
Scarab started at Mon Oct  7 22:50:20 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000005 } -- 0.00 KIPS (55.56 KIPS)
** Heartbeat:  10% -- { 2000005 } -- 71.43 KIPS (62.50 KIPS)
** Heartbeat:  15% -- { 3000014 } -- 66.67 KIPS (63.83 KIPS)
** Heartbeat:  20% -- { 4000014 } -- 66.67 KIPS (64.52 KIPS)
** Heartbeat:  25% -- { 5000017 } -- 62.50 KIPS (64.10 KIPS)
** Heartbeat:  30% -- { 6000024 } -- 52.63 KIPS (61.86 KIPS)
** Heartbeat:  35% -- { 7000030 } -- 111.11 KIPS (66.04 KIPS)
** Heartbeat:  40% -- { 8000037 } -- 83.33 KIPS (67.80 KIPS)
** Heartbeat:  45% -- { 9000037 } -- 200.00 KIPS (73.17 KIPS)
** Heartbeat:  50% -- { 10000043 } -- 111.11 KIPS (75.76 KIPS)
** Heartbeat:  55% -- { 11000043 } -- 66.67 KIPS (74.83 KIPS)
** Heartbeat:  60% -- { 12000046 } -- 200.00 KIPS (78.95 KIPS)
** Heartbeat:  65% -- { 13000046 } -- 66.67 KIPS (77.84 KIPS)
** Heartbeat:  70% -- { 14000046 } -- 66.67 KIPS (76.92 KIPS)
** Heartbeat:  75% -- { 15000049 } -- 111.11 KIPS (78.53 KIPS)
** Heartbeat:  80% -- { 16000054 } -- 76.92 KIPS (78.43 KIPS)
** Heartbeat:  85% -- { 17000054 } -- 100.00 KIPS (79.44 KIPS)
** Heartbeat:  90% -- { 18000054 } -- 90.91 KIPS (80.00 KIPS)
** Heartbeat:  95% -- { 19000055 } -- 71.43 KIPS (79.50 KIPS)
** Core 0 Finished:    insts:20000000    cycles:11606584    time:3627057500000       -- 1.72 IPC (1.72 IPC) --  N/A  KIPS (79.05 KIPS)
Scarab finished at Mon Oct  7 22:54:33 2024

