Scarab gitrev: 3541854
Scarab started at Mon Oct  7 23:00:55 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000004 } -- 0.00 KIPS (71.43 KIPS)
** Heartbeat:  10% -- { 2000007 } -- 125.00 KIPS (90.91 KIPS)
** Heartbeat:  15% -- { 3000010 } -- 83.33 KIPS (88.24 KIPS)
** Heartbeat:  20% -- { 4000011 } -- 111.11 KIPS (93.02 KIPS)
** Heartbeat:  25% -- { 5000011 } -- 62.50 KIPS (84.75 KIPS)
** Heartbeat:  30% -- { 6000011 } -- 90.91 KIPS (85.71 KIPS)
** Heartbeat:  35% -- { 7000011 } -- 90.91 KIPS (86.42 KIPS)
** Heartbeat:  40% -- { 8000014 } -- 76.92 KIPS (85.11 KIPS)
** Heartbeat:  45% -- { 9000015 } -- 166.67 KIPS (90.00 KIPS)
** Heartbeat:  50% -- { 10000015 } -- 66.67 KIPS (86.96 KIPS)
** Heartbeat:  55% -- { 11000020 } -- 55.56 KIPS (82.71 KIPS)
** Heartbeat:  60% -- { 12000022 } -- 58.82 KIPS (80.00 KIPS)
** Heartbeat:  65% -- { 13000022 } -- 100.00 KIPS (81.25 KIPS)
** Heartbeat:  70% -- { 14000024 } -- 90.91 KIPS (81.87 KIPS)
** Heartbeat:  75% -- { 15000029 } -- 55.56 KIPS (79.37 KIPS)
** Heartbeat:  80% -- { 16000031 } -- 62.50 KIPS (78.05 KIPS)
** Heartbeat:  85% -- { 17000031 } -- 66.67 KIPS (77.27 KIPS)
** Heartbeat:  90% -- { 18000032 } -- 71.43 KIPS (76.92 KIPS)
** Heartbeat:  95% -- { 19000035 } -- 62.50 KIPS (76.00 KIPS)
** Core 0 Finished:    insts:20000000    cycles:15413976    time:4816867500000       -- 1.30 IPC (1.30 IPC) --  N/A  KIPS (74.07 KIPS)
Scarab finished at Mon Oct  7 23:05:25 2024

