Scarab gitrev: 3541854
Scarab started at Mon Oct  7 23:01:53 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (83.33 KIPS)
** Heartbeat:  10% -- { 2000006 } -- 58.82 KIPS (68.97 KIPS)
** Heartbeat:  15% -- { 3000010 } -- 111.11 KIPS (78.95 KIPS)
** Heartbeat:  20% -- { 4000011 } -- 142.86 KIPS (88.89 KIPS)
** Heartbeat:  25% -- { 5000011 } -- 90.91 KIPS (89.29 KIPS)
** Heartbeat:  30% -- { 6000018 } -- 83.33 KIPS (88.24 KIPS)
** Heartbeat:  35% -- { 7000020 } -- 58.82 KIPS (82.35 KIPS)
** Heartbeat:  40% -- { 8000025 } -- 100.00 KIPS (84.21 KIPS)
** Heartbeat:  45% -- { 9000025 } -- 166.67 KIPS (89.11 KIPS)
** Heartbeat:  50% -- { 10000025 } -- 83.33 KIPS (88.50 KIPS)
** Heartbeat:  55% -- { 11000031 } -- 76.92 KIPS (87.30 KIPS)
** Heartbeat:  60% -- { 12000031 } -- 66.67 KIPS (85.11 KIPS)
** Heartbeat:  65% -- { 13000032 } -- 142.86 KIPS (87.84 KIPS)
** Heartbeat:  70% -- { 14000032 } -- 200.00 KIPS (91.50 KIPS)
** Heartbeat:  75% -- { 15000033 } -- 111.11 KIPS (92.59 KIPS)
** Heartbeat:  80% -- { 16000035 } -- 71.43 KIPS (90.91 KIPS)
** Heartbeat:  85% -- { 17000035 } -- 100.00 KIPS (91.40 KIPS)
** Heartbeat:  90% -- { 18000035 } -- 200.00 KIPS (94.24 KIPS)
** Heartbeat:  95% -- { 19000038 } -- 333.33 KIPS (97.94 KIPS)
** Core 0 Finished:    insts:20000000    cycles:14180542    time:4431419375000       -- 1.41 IPC (1.41 IPC) --  N/A  KIPS (98.04 KIPS)
Scarab finished at Mon Oct  7 23:05:17 2024

