Scarab gitrev: 3541854
Scarab started at Mon Oct  7 23:11:27 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000006 } -- 0.00 KIPS (90.91 KIPS)
** Heartbeat:  10% -- { 2000012 } -- 83.33 KIPS (86.96 KIPS)
** Heartbeat:  15% -- { 3000019 } -- 83.33 KIPS (85.71 KIPS)
** Heartbeat:  20% -- { 4000025 } -- 142.86 KIPS (95.24 KIPS)
** Heartbeat:  25% -- { 5000028 } -- 62.50 KIPS (86.21 KIPS)
** Heartbeat:  30% -- { 6000028 } -- 125.00 KIPS (90.91 KIPS)
** Heartbeat:  35% -- { 7000031 } -- 111.11 KIPS (93.33 KIPS)
** Heartbeat:  40% -- { 8000037 } -- 200.00 KIPS (100.00 KIPS)
** Heartbeat:  45% -- { 9000037 } -- 83.33 KIPS (97.83 KIPS)
** Heartbeat:  50% -- { 10000038 } -- 100.00 KIPS (98.04 KIPS)
** Heartbeat:  55% -- { 11000042 } -- 142.86 KIPS (100.92 KIPS)
** Heartbeat:  60% -- { 12000050 } -- 250.00 KIPS (106.20 KIPS)
** Heartbeat:  65% -- { 13000050 } -- 250.00 KIPS (111.11 KIPS)
** Heartbeat:  70% -- { 14000057 } -- 250.00 KIPS (115.70 KIPS)
** Heartbeat:  75% -- { 15000062 } -- 250.00 KIPS (120.00 KIPS)
** Heartbeat:  80% -- { 16000063 } -- 250.00 KIPS (124.03 KIPS)
** Heartbeat:  85% -- { 17000064 } -- 333.33 KIPS (128.79 KIPS)
** Heartbeat:  90% -- { 18000065 } -- 333.33 KIPS (133.33 KIPS)
** Heartbeat:  95% -- { 19000067 } -- 500.00 KIPS (138.69 KIPS)
** Core 0 Finished:    insts:20000003    cycles:14185302    time:4432906875000       -- 1.41 IPC (1.41 IPC) --  N/A  KIPS (143.88 KIPS)
Scarab finished at Mon Oct  7 23:13:46 2024

