Scarab gitrev: 3541854
Scarab started at Mon Oct  7 23:11:15 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000005 } -- 0.00 KIPS (100.00 KIPS)
** Heartbeat:  10% -- { 2000009 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  15% -- { 3000013 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  20% -- { 4000015 } -- 90.91 KIPS (97.56 KIPS)
** Heartbeat:  25% -- { 5000019 } -- 71.43 KIPS (90.91 KIPS)
** Heartbeat:  30% -- { 6000020 } -- 90.91 KIPS (90.91 KIPS)
** Heartbeat:  35% -- { 7000022 } -- 76.92 KIPS (88.61 KIPS)
** Heartbeat:  40% -- { 8000024 } -- 200.00 KIPS (95.24 KIPS)
** Heartbeat:  45% -- { 9000027 } -- 100.00 KIPS (95.74 KIPS)
** Heartbeat:  50% -- { 10000028 } -- 200.00 KIPS (101.01 KIPS)
** Heartbeat:  55% -- { 11000032 } -- 166.67 KIPS (104.76 KIPS)
** Heartbeat:  60% -- { 12000037 } -- 142.86 KIPS (107.14 KIPS)
** Heartbeat:  65% -- { 13000039 } -- 166.67 KIPS (110.17 KIPS)
** Heartbeat:  70% -- { 14000039 } -- 250.00 KIPS (114.75 KIPS)
** Heartbeat:  75% -- { 15000039 } -- 250.00 KIPS (119.05 KIPS)
** Heartbeat:  80% -- { 16000041 } -- 250.00 KIPS (123.08 KIPS)
** Heartbeat:  85% -- { 17000041 } -- 250.00 KIPS (126.87 KIPS)
** Heartbeat:  90% -- { 18000041 } -- 333.33 KIPS (131.39 KIPS)
** Heartbeat:  95% -- { 19000041 } -- 250.00 KIPS (134.75 KIPS)
** Core 0 Finished:    insts:20000002    cycles:15719772    time:4912428750000       -- 1.27 IPC (1.27 IPC) --  N/A  KIPS (138.89 KIPS)
Scarab finished at Mon Oct  7 23:13:39 2024

