Scarab gitrev: 3541854
Scarab started at Tue Oct  8 00:10:50 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (71.43 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 41.67 KIPS (52.63 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 66.67 KIPS (56.60 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 62.50 KIPS (57.97 KIPS)
** Heartbeat:  25% -- { 5000000 } -- 76.92 KIPS (60.98 KIPS)
** Heartbeat:  30% -- { 6000000 } -- 50.00 KIPS (58.82 KIPS)
** Heartbeat:  35% -- { 7000000 } -- 45.45 KIPS (56.45 KIPS)
** Heartbeat:  40% -- { 8000000 } -- 43.48 KIPS (54.42 KIPS)
** Heartbeat:  45% -- { 9000000 } -- 47.62 KIPS (53.57 KIPS)
** Heartbeat:  50% -- { 10000000 } -- 62.50 KIPS (54.35 KIPS)
** Heartbeat:  55% -- { 11000000 } -- 38.46 KIPS (52.38 KIPS)
** Heartbeat:  60% -- { 12000000 } -- 45.45 KIPS (51.72 KIPS)
** Heartbeat:  65% -- { 13000000 } -- 43.48 KIPS (50.98 KIPS)
** Heartbeat:  70% -- { 14000000 } -- 41.67 KIPS (50.18 KIPS)
** Heartbeat:  75% -- { 15000000 } -- 43.48 KIPS (49.67 KIPS)
** Heartbeat:  80% -- { 16000000 } -- 43.48 KIPS (49.23 KIPS)
** Heartbeat:  85% -- { 17000000 } -- 55.56 KIPS (49.56 KIPS)
** Heartbeat:  90% -- { 18000000 } -- 66.67 KIPS (50.28 KIPS)
** Heartbeat:  95% -- { 19000000 } -- 47.62 KIPS (50.13 KIPS)
** Heartbeat: 100% -- { 20000000 } -- 62.50 KIPS (50.63 KIPS)
** Core 0 Finished:    insts:20000000    cycles:20337497    time:6355467812500       -- 0.98 IPC (0.98 IPC) --  N/A  KIPS (50.63 KIPS)
Scarab finished at Tue Oct  8 00:17:25 2024

