Scarab gitrev: 3541854
Scarab started at Tue Oct  8 00:24:19 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000004 } -- 0.00 KIPS (83.33 KIPS)
** Heartbeat:  10% -- { 2000007 } -- 100.00 KIPS (90.91 KIPS)
** Heartbeat:  15% -- { 3000010 } -- 71.43 KIPS (83.33 KIPS)
** Heartbeat:  20% -- { 4000011 } -- 125.00 KIPS (90.91 KIPS)
** Heartbeat:  25% -- { 5000011 } -- 100.00 KIPS (92.59 KIPS)
** Heartbeat:  30% -- { 6000011 } -- 111.11 KIPS (95.24 KIPS)
** Heartbeat:  35% -- { 7000011 } -- 100.00 KIPS (95.89 KIPS)
** Heartbeat:  40% -- { 8000014 } -- 111.11 KIPS (97.56 KIPS)
** Heartbeat:  45% -- { 9000015 } -- 125.00 KIPS (100.00 KIPS)
** Heartbeat:  50% -- { 10000015 } -- 62.50 KIPS (94.34 KIPS)
** Heartbeat:  55% -- { 11000020 } -- 83.33 KIPS (93.22 KIPS)
** Heartbeat:  60% -- { 12000022 } -- 71.43 KIPS (90.91 KIPS)
** Heartbeat:  65% -- { 13000022 } -- 90.91 KIPS (90.91 KIPS)
** Heartbeat:  70% -- { 14000024 } -- 166.67 KIPS (93.96 KIPS)
** Heartbeat:  75% -- { 15000029 } -- 100.00 KIPS (94.34 KIPS)
** Heartbeat:  80% -- { 16000031 } -- 90.91 KIPS (94.12 KIPS)
** Heartbeat:  85% -- { 17000031 } -- 90.91 KIPS (93.92 KIPS)
** Heartbeat:  90% -- { 18000032 } -- 90.91 KIPS (93.75 KIPS)
** Heartbeat:  95% -- { 19000032 } -- 166.67 KIPS (95.96 KIPS)
** Core 0 Finished:    insts:20000000    cycles:14683371    time:4588553437500       -- 1.36 IPC (1.36 IPC) --  N/A  KIPS (96.62 KIPS)
Scarab finished at Tue Oct  8 00:27:46 2024

