Scarab gitrev: 3541854
Scarab started at Tue Oct  8 02:20:11 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (66.67 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 125.00 KIPS (86.96 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 76.92 KIPS (83.33 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 71.43 KIPS (80.00 KIPS)
** Heartbeat:  25% -- { 5000000 } -- 55.56 KIPS (73.53 KIPS)
** Heartbeat:  30% -- { 6000000 } -- 76.92 KIPS (74.07 KIPS)
** Heartbeat:  35% -- { 7000000 } -- 66.67 KIPS (72.92 KIPS)
** Heartbeat:  40% -- { 8000000 } -- 83.33 KIPS (74.07 KIPS)
** Heartbeat:  45% -- { 9000000 } -- 90.91 KIPS (75.63 KIPS)
** Heartbeat:  50% -- { 10000000 } -- 76.92 KIPS (75.76 KIPS)
** Heartbeat:  55% -- { 11000000 } -- 38.46 KIPS (69.62 KIPS)
** Heartbeat:  60% -- { 12000000 } -- 83.33 KIPS (70.59 KIPS)
** Heartbeat:  65% -- { 13000000 } -- 58.82 KIPS (69.52 KIPS)
** Heartbeat:  70% -- { 14000000 } -- 47.62 KIPS (67.31 KIPS)
** Heartbeat:  75% -- { 15000000 } -- 83.33 KIPS (68.18 KIPS)
** Heartbeat:  80% -- { 16000000 } -- 71.43 KIPS (68.38 KIPS)
** Heartbeat:  85% -- { 17000000 } -- 90.91 KIPS (69.39 KIPS)
** Heartbeat:  90% -- { 18000000 } -- 47.62 KIPS (67.67 KIPS)
** Heartbeat:  95% -- { 19000000 } -- 47.62 KIPS (66.20 KIPS)
** Heartbeat: 100% -- { 20000000 } -- 62.50 KIPS (66.01 KIPS)
** Core 0 Finished:    insts:20000000    cycles:20834624    time:6510820000000       -- 0.96 IPC (0.96 IPC) --  N/A  KIPS (66.01 KIPS)
Scarab finished at Tue Oct  8 02:25:14 2024

