Scarab gitrev: 3541854
Scarab started at Tue Oct  8 02:20:11 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (62.50 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 45.45 KIPS (52.63 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 47.62 KIPS (50.85 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 50.00 KIPS (50.63 KIPS)
** Heartbeat:  25% -- { 5000000 } -- 100.00 KIPS (56.18 KIPS)
** Heartbeat:  30% -- { 6000000 } -- 55.56 KIPS (56.07 KIPS)
** Heartbeat:  35% -- { 7000000 } -- 66.67 KIPS (57.38 KIPS)
** Heartbeat:  40% -- { 8000000 } -- 62.50 KIPS (57.97 KIPS)
** Heartbeat:  45% -- { 9000000 } -- 52.63 KIPS (57.32 KIPS)
** Heartbeat:  50% -- { 10000000 } -- 83.33 KIPS (59.17 KIPS)
** Heartbeat:  55% -- { 11000000 } -- 62.50 KIPS (59.46 KIPS)
** Heartbeat:  60% -- { 12000000 } -- 62.50 KIPS (59.70 KIPS)
** Heartbeat:  65% -- { 13000000 } -- 52.63 KIPS (59.09 KIPS)
** Heartbeat:  70% -- { 14000000 } -- 83.33 KIPS (60.34 KIPS)
** Heartbeat:  75% -- { 15000000 } -- 58.82 KIPS (60.24 KIPS)
** Heartbeat:  80% -- { 16000000 } -- 71.43 KIPS (60.84 KIPS)
** Heartbeat:  85% -- { 17000000 } -- 66.67 KIPS (61.15 KIPS)
** Heartbeat:  90% -- { 18000002 } -- 45.45 KIPS (60.00 KIPS)
** Heartbeat:  95% -- { 19000004 } -- 62.50 KIPS (60.13 KIPS)
** Core 0 Finished:    insts:20000000    cycles:20759920    time:6487475000000       -- 0.96 IPC (0.96 IPC) --  N/A  KIPS (60.98 KIPS)
Scarab finished at Tue Oct  8 02:25:39 2024

