Scarab gitrev: 3541854
Scarab started at Tue Oct  8 02:20:11 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (71.43 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 90.91 KIPS (80.00 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 76.92 KIPS (78.95 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 45.45 KIPS (66.67 KIPS)
** Heartbeat:  25% -- { 5000000 } -- 83.33 KIPS (69.44 KIPS)
** Heartbeat:  30% -- { 6000000 } -- 71.43 KIPS (69.77 KIPS)
** Heartbeat:  35% -- { 7000000 } -- 90.91 KIPS (72.16 KIPS)
** Heartbeat:  40% -- { 8000000 } -- 90.91 KIPS (74.07 KIPS)
** Heartbeat:  45% -- { 9000000 } -- 90.91 KIPS (75.63 KIPS)
** Heartbeat:  50% -- { 10000000 } -- 58.82 KIPS (73.53 KIPS)
** Heartbeat:  55% -- { 11000000 } -- 55.56 KIPS (71.43 KIPS)
** Heartbeat:  60% -- { 12000000 } -- 55.56 KIPS (69.77 KIPS)
** Heartbeat:  65% -- { 13000000 } -- 83.33 KIPS (70.65 KIPS)
** Heartbeat:  70% -- { 14000000 } -- 52.63 KIPS (68.97 KIPS)
** Heartbeat:  75% -- { 15000000 } -- 58.82 KIPS (68.18 KIPS)
** Heartbeat:  80% -- { 16000000 } -- 52.63 KIPS (66.95 KIPS)
** Heartbeat:  85% -- { 17000000 } -- 71.43 KIPS (67.19 KIPS)
** Heartbeat:  90% -- { 18000005 } -- 90.91 KIPS (68.18 KIPS)
** Heartbeat:  95% -- { 19000009 } -- 45.45 KIPS (66.43 KIPS)
** Core 0 Finished:    insts:20000000    cycles:20774421    time:6492006562500       -- 0.96 IPC (0.96 IPC) --  N/A  KIPS (66.23 KIPS)
Scarab finished at Tue Oct  8 02:25:13 2024

