Scarab gitrev: 3541854
Scarab started at Tue Oct  8 02:23:14 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (62.50 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 83.33 KIPS (71.43 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 71.43 KIPS (71.43 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 71.43 KIPS (71.43 KIPS)
** Heartbeat:  25% -- { 5000000 } -- 83.33 KIPS (73.53 KIPS)
** Heartbeat:  30% -- { 6000000 } -- 76.92 KIPS (74.07 KIPS)
** Heartbeat:  35% -- { 7000000 } -- 62.50 KIPS (72.16 KIPS)
** Heartbeat:  40% -- { 8000000 } -- 83.33 KIPS (73.39 KIPS)
** Heartbeat:  45% -- { 9000000 } -- 76.92 KIPS (73.77 KIPS)
** Heartbeat:  50% -- { 10000000 } -- 62.50 KIPS (72.46 KIPS)
** Heartbeat:  55% -- { 11000000 } -- 66.67 KIPS (71.90 KIPS)
** Heartbeat:  60% -- { 12000000 } -- 58.82 KIPS (70.59 KIPS)
** Heartbeat:  65% -- { 13000000 } -- 58.82 KIPS (69.52 KIPS)
** Heartbeat:  70% -- { 14000000 } -- 83.33 KIPS (70.35 KIPS)
** Heartbeat:  75% -- { 15000000 } -- 45.45 KIPS (67.87 KIPS)
** Heartbeat:  80% -- { 16000000 } -- 47.62 KIPS (66.12 KIPS)
** Heartbeat:  85% -- { 17000000 } -- 76.92 KIPS (66.67 KIPS)
** Heartbeat:  90% -- { 18000000 } -- 62.50 KIPS (66.42 KIPS)
** Heartbeat:  95% -- { 19000000 } -- 62.50 KIPS (66.20 KIPS)
** Heartbeat: 100% -- { 20000000 } -- 50.00 KIPS (65.15 KIPS)
** Core 0 Finished:    insts:20000000    cycles:20337297    time:6355405312500       -- 0.98 IPC (0.98 IPC) --  N/A  KIPS (65.15 KIPS)
Scarab finished at Tue Oct  8 02:28:21 2024

