Scarab gitrev: 3541854
Scarab started at Tue Oct  8 02:23:14 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (100.00 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 47.62 KIPS (64.52 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 55.56 KIPS (61.22 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 58.82 KIPS (60.61 KIPS)
** Heartbeat:  25% -- { 5000000 } -- 71.43 KIPS (62.50 KIPS)
** Heartbeat:  30% -- { 6000000 } -- 83.33 KIPS (65.22 KIPS)
** Heartbeat:  35% -- { 7000000 } -- 50.00 KIPS (62.50 KIPS)
** Heartbeat:  40% -- { 8000000 } -- 58.82 KIPS (62.02 KIPS)
** Heartbeat:  45% -- { 9000000 } -- 47.62 KIPS (60.00 KIPS)
** Heartbeat:  50% -- { 10000000 } -- 100.00 KIPS (62.50 KIPS)
** Heartbeat:  55% -- { 11000000 } -- 52.63 KIPS (61.45 KIPS)
** Heartbeat:  60% -- { 12000000 } -- 55.56 KIPS (60.91 KIPS)
** Heartbeat:  65% -- { 13000000 } -- 58.82 KIPS (60.75 KIPS)
** Heartbeat:  70% -- { 14000000 } -- 55.56 KIPS (60.34 KIPS)
** Heartbeat:  75% -- { 15000000 } -- 47.62 KIPS (59.29 KIPS)
** Heartbeat:  80% -- { 16000000 } -- 66.67 KIPS (59.70 KIPS)
** Heartbeat:  85% -- { 17000000 } -- 62.50 KIPS (59.86 KIPS)
** Heartbeat:  90% -- { 18000000 } -- 47.62 KIPS (59.02 KIPS)
** Heartbeat:  95% -- { 19000000 } -- 62.50 KIPS (59.19 KIPS)
** Heartbeat: 100% -- { 20000000 } -- 66.67 KIPS (59.52 KIPS)
** Core 0 Finished:    insts:20000000    cycles:20337529    time:6355477812500       -- 0.98 IPC (0.98 IPC) --  N/A  KIPS (59.52 KIPS)
Scarab finished at Tue Oct  8 02:28:51 2024

