Scarab gitrev: 3541854
Scarab started at Tue Oct  8 02:25:16 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (90.91 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 125.00 KIPS (105.26 KIPS)
** Heartbeat:  15% -- { 3000003 } -- 100.00 KIPS (103.45 KIPS)
** Heartbeat:  20% -- { 4000004 } -- 62.50 KIPS (88.89 KIPS)
** Heartbeat:  25% -- { 5000008 } -- 66.67 KIPS (83.33 KIPS)
** Heartbeat:  30% -- { 6000008 } -- 100.00 KIPS (85.71 KIPS)
** Heartbeat:  35% -- { 7000011 } -- 71.43 KIPS (83.33 KIPS)
** Heartbeat:  40% -- { 8000014 } -- 125.00 KIPS (86.96 KIPS)
** Heartbeat:  45% -- { 9000017 } -- 100.00 KIPS (88.24 KIPS)
** Heartbeat:  50% -- { 10000018 } -- 76.92 KIPS (86.96 KIPS)
** Heartbeat:  55% -- { 11000018 } -- 66.67 KIPS (84.62 KIPS)
** Heartbeat:  60% -- { 12000021 } -- 83.33 KIPS (84.51 KIPS)
** Heartbeat:  65% -- { 13000021 } -- 62.50 KIPS (82.28 KIPS)
** Heartbeat:  70% -- { 14000021 } -- 100.00 KIPS (83.33 KIPS)
** Heartbeat:  75% -- { 15000023 } -- 125.00 KIPS (85.23 KIPS)
** Heartbeat:  80% -- { 16000025 } -- 83.33 KIPS (85.11 KIPS)
** Heartbeat:  85% -- { 17000025 } -- 76.92 KIPS (84.58 KIPS)
** Heartbeat:  90% -- { 18000025 } -- 83.33 KIPS (84.51 KIPS)
** Heartbeat:  95% -- { 19000025 } -- 90.91 KIPS (84.82 KIPS)
** Core 0 Finished:    insts:20000000    cycles:13369201    time:4177875312500       -- 1.50 IPC (1.50 IPC) --  N/A  KIPS (85.47 KIPS)
Scarab finished at Tue Oct  8 02:29:10 2024

