Scarab gitrev: 3541854
Scarab started at Tue Oct  8 02:42:51 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000006 } -- 0.00 KIPS (200.00 KIPS)
** Heartbeat:  10% -- { 2000012 } -- 166.67 KIPS (181.82 KIPS)
** Heartbeat:  15% -- { 3000019 } -- 100.00 KIPS (142.86 KIPS)
** Heartbeat:  20% -- { 4000025 } -- 142.86 KIPS (142.86 KIPS)
** Heartbeat:  25% -- { 5000028 } -- 142.86 KIPS (142.86 KIPS)
** Heartbeat:  30% -- { 6000028 } -- 250.00 KIPS (153.85 KIPS)
** Heartbeat:  35% -- { 7000031 } -- 200.00 KIPS (159.09 KIPS)
** Heartbeat:  40% -- { 8000037 } -- 200.00 KIPS (163.27 KIPS)
** Heartbeat:  45% -- { 9000037 } -- 200.00 KIPS (166.67 KIPS)
** Heartbeat:  50% -- { 10000038 } -- 200.00 KIPS (169.49 KIPS)
** Heartbeat:  55% -- { 11000042 } -- 250.00 KIPS (174.60 KIPS)
** Heartbeat:  60% -- { 12000050 } -- 250.00 KIPS (179.11 KIPS)
** Heartbeat:  65% -- { 13000050 } -- 500.00 KIPS (188.41 KIPS)
** Heartbeat:  70% -- { 14000057 } -- 500.00 KIPS (197.18 KIPS)
** Heartbeat:  75% -- { 15000062 } -- 500.00 KIPS (205.48 KIPS)
** Heartbeat:  80% -- { 16000063 } -- 500.00 KIPS (213.33 KIPS)
** Heartbeat:  85% -- { 17000064 } -- 333.33 KIPS (217.95 KIPS)
** Heartbeat:  90% -- { 18000065 } -- 500.00 KIPS (225.00 KIPS)
** Heartbeat:  95% -- { 19000067 } -- 1000.00 KIPS (234.57 KIPS)
** Core 0 Finished:    insts:20000003    cycles:14185302    time:4432906875000       -- 1.41 IPC (1.41 IPC) --  N/A  KIPS (240.96 KIPS)
Scarab finished at Tue Oct  8 02:44:15 2024

