Core, 0
Cumulative Cycles, 14242768            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.40422
Periodic Cycles, 6732317             
Periodic Instructions, 10000000            
Periodic IPC, 1.48537

EXECUTION_TIME_count, 2103849062500
EXECUTION_TIME_total_count, 4450865000000

NODE_CYCLE_count,       6732317
NODE_CYCLE_total_count,      14242768

NODE_INST_COUNT_count,      10000000
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,      10000000
NODE_INST_COUNT_FETCHED_total_count,      20000000

NODE_UOP_COUNT_count,      10590337
NODE_UOP_COUNT_total_count,      21551740

FULL_WINDOW_STALL_count,          5925
FULL_WINDOW_STALL_pct,        0.088
FULL_WINDOW_STALL_total_count,         23264
FULL_WINDOW_STALL_total_pct,        0.163

FULL_WINDOW_MEM_OP_count,          5330
FULL_WINDOW_MEM_OP_pct,      100.000
FULL_WINDOW_MEM_OP_total_count,         22049
FULL_WINDOW_MEM_OP_total_pct,       98.706

FULL_WINDOW_FP_OP_count,             0
FULL_WINDOW_FP_OP_pct,        0.000
FULL_WINDOW_FP_OP_total_count,           287
FULL_WINDOW_FP_OP_total_pct,        1.285

FULL_WINDOW_OTHER_OP_count,             0
FULL_WINDOW_OTHER_OP_pct,        0.000
FULL_WINDOW_OTHER_OP_total_count,             2
FULL_WINDOW_OTHER_OP_total_pct,        0.009
FULL_WINDOW_OTHER_OP_sum_count,          5330
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,         22338
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.00
FULL_WINDOW_OTHER_OP_stddev,         0.00
FULL_WINDOW_OTHER_OP_total_mean,         0.01
FULL_WINDOW_OTHER_OP_total_stddev,         0.11

RET_BLOCKED_DC_MISS_count,         93546
RET_BLOCKED_DC_MISS_pct,        1.390
RET_BLOCKED_DC_MISS_total_count,        348062
RET_BLOCKED_DC_MISS_total_pct,        2.444

RET_BLOCKED_L1_MISS_count,         27841
RET_BLOCKED_L1_MISS_pct,        0.414
RET_BLOCKED_L1_MISS_total_count,        124903
RET_BLOCKED_L1_MISS_total_pct,        0.877

RET_BLOCKED_L1_MISS_BW_PREF_count,          5366
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.080
RET_BLOCKED_L1_MISS_BW_PREF_total_count,          7684
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.054

RET_BLOCKED_L1_ACCESS_count,         65706
RET_BLOCKED_L1_ACCESS_pct,        0.976
RET_BLOCKED_L1_ACCESS_total_count,        223301
RET_BLOCKED_L1_ACCESS_total_pct,        1.568

RET_BLOCKED_MEM_STALL_count,         27841
RET_BLOCKED_MEM_STALL_pct,        0.414
RET_BLOCKED_MEM_STALL_total_count,        124903
RET_BLOCKED_MEM_STALL_total_pct,        0.877

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      10735500
OP_ISSUED_total_count,      21874768

OP_RETIRED_count,      10590337
OP_RETIRED_total_count,      21551740

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,        373555
LD_NO_DEPENDENTS_pct,       16.080
LD_NO_DEPENDENTS_total_count,        870253
LD_NO_DEPENDENTS_total_pct,       17.896

LD_DEPENDENTS_count,       1949581
LD_DEPENDENTS_pct,       83.920
LD_DEPENDENTS_total_count,       3992612
LD_DEPENDENTS_total_pct,       82.104
LD_DEPENDENTS_sum_count,       2323136
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,       4862865
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         0.84
LD_DEPENDENTS_stddev,         0.78
LD_DEPENDENTS_total_mean,         0.82
LD_DEPENDENTS_total_stddev,         0.76

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,        0.000
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,        0.000

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,        0.000
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,        0.000

LD_EXEC_CYCLES_2_count,             0
LD_EXEC_CYCLES_2_pct,        0.000
LD_EXEC_CYCLES_2_total_count,             0
LD_EXEC_CYCLES_2_total_pct,        0.000

LD_EXEC_CYCLES_3_count,          5163
LD_EXEC_CYCLES_3_pct,       98.606
LD_EXEC_CYCLES_3_total_count,         18900
LD_EXEC_CYCLES_3_total_pct,       98.979

LD_EXEC_CYCLES_4_count,            73
LD_EXEC_CYCLES_4_pct,        1.394
LD_EXEC_CYCLES_4_total_count,           195
LD_EXEC_CYCLES_4_total_pct,        1.021
LD_EXEC_CYCLES_4_sum_count,          5236
LD_EXEC_CYCLES_4_sum_pct,      100.000
LD_EXEC_CYCLES_4_sum_total_count,         19095
LD_EXEC_CYCLES_4_sum_total_pct,      100.000
LD_EXEC_CYCLES_4_mean,         3.01
LD_EXEC_CYCLES_4_stddev,         0.37
LD_EXEC_CYCLES_4_total_mean,         3.01
LD_EXEC_CYCLES_4_total_stddev,         0.32

ICACHE_STAGE_STARVED_count,            20
ICACHE_STAGE_STARVED_pct,        0.000
ICACHE_STAGE_STARVED_total_count,          5447
ICACHE_STAGE_STARVED_total_pct,        0.040

ICACHE_STAGE_NOT_STARVED_count,       6410054
ICACHE_STAGE_NOT_STARVED_pct,      100.000
ICACHE_STAGE_NOT_STARVED_total_count,      13535427
ICACHE_STAGE_NOT_STARVED_total_pct,       99.960
ICACHE_STAGE_NOT_STARVED_sum_count,       6410074
ICACHE_STAGE_NOT_STARVED_sum_pct,      100.000
ICACHE_STAGE_NOT_STARVED_sum_total_count,      13540874
ICACHE_STAGE_NOT_STARVED_sum_total_pct,      100.000
ICACHE_STAGE_NOT_STARVED_mean,         1.00
ICACHE_STAGE_NOT_STARVED_stddev,         1.00
ICACHE_STAGE_NOT_STARVED_total_mean,         1.00
ICACHE_STAGE_NOT_STARVED_total_stddev,         1.00

ICACHE_STAGE_STALLED_count,          5002
ICACHE_STAGE_STALLED_pct,        0.074
ICACHE_STAGE_STALLED_total_count,         19171
ICACHE_STAGE_STALLED_total_pct,        0.135

ICACHE_STAGE_NOT_STALLED_count,       6410074
ICACHE_STAGE_NOT_STALLED_pct,       95.213
ICACHE_STAGE_NOT_STALLED_total_count,      13538175
ICACHE_STAGE_NOT_STALLED_total_pct,       95.053

ICACHE_STAGE_OFF_PATH_count,        317241
ICACHE_STAGE_OFF_PATH_pct,        4.712
ICACHE_STAGE_OFF_PATH_total_count,        685422
ICACHE_STAGE_OFF_PATH_total_pct,        4.812
ICACHE_STAGE_OFF_PATH_sum_count,       6732317
ICACHE_STAGE_OFF_PATH_sum_pct,      100.000
ICACHE_STAGE_OFF_PATH_sum_total_count,      14242768
ICACHE_STAGE_OFF_PATH_sum_total_pct,      100.000
ICACHE_STAGE_OFF_PATH_mean,         1.05
ICACHE_STAGE_OFF_PATH_stddev,         0.31
ICACHE_STAGE_OFF_PATH_total_mean,         1.05
ICACHE_STAGE_OFF_PATH_total_stddev,         0.31

DECODE_STAGE_STARVED_count,       4698910
DECODE_STAGE_STARVED_pct,       70.712
DECODE_STAGE_STARVED_total_count,       9236294
DECODE_STAGE_STARVED_total_pct,       65.765

DECODE_STAGE_NOT_STARVED_count,       1946185
DECODE_STAGE_NOT_STARVED_pct,       29.288
DECODE_STAGE_NOT_STARVED_total_count,       4808009
DECODE_STAGE_NOT_STARVED_total_pct,       34.235
DECODE_STAGE_NOT_STARVED_sum_count,       6645095
DECODE_STAGE_NOT_STARVED_sum_pct,      100.000
DECODE_STAGE_NOT_STARVED_sum_total_count,      14044303
DECODE_STAGE_NOT_STARVED_sum_total_pct,      100.000
DECODE_STAGE_NOT_STARVED_mean,         0.29
DECODE_STAGE_NOT_STARVED_stddev,         0.41
DECODE_STAGE_NOT_STARVED_total_mean,         0.34
DECODE_STAGE_NOT_STARVED_total_stddev,         0.43

DECODE_STAGE_STALLED_count,          5104
DECODE_STAGE_STALLED_pct,        0.076
DECODE_STAGE_STALLED_total_count,          8087
DECODE_STAGE_STALLED_total_pct,        0.057

DECODE_STAGE_NOT_STALLED_count,       6639991
DECODE_STAGE_NOT_STALLED_pct,       98.629
DECODE_STAGE_NOT_STALLED_total_count,      14036216
DECODE_STAGE_NOT_STALLED_total_pct,       98.550

DECODE_STAGE_OFF_PATH_count,         87222
DECODE_STAGE_OFF_PATH_pct,        1.296
DECODE_STAGE_OFF_PATH_total_count,        198465
DECODE_STAGE_OFF_PATH_total_pct,        1.393
DECODE_STAGE_OFF_PATH_sum_count,       6732317
DECODE_STAGE_OFF_PATH_sum_pct,      100.000
DECODE_STAGE_OFF_PATH_sum_total_count,      14242768
DECODE_STAGE_OFF_PATH_sum_total_pct,      100.000
DECODE_STAGE_OFF_PATH_mean,         1.01
DECODE_STAGE_OFF_PATH_stddev,         0.16
DECODE_STAGE_OFF_PATH_total_mean,         1.01
DECODE_STAGE_OFF_PATH_total_stddev,         0.17

UOPQ_STAGE_STARVED_count,       2288863
UOPQ_STAGE_STARVED_pct,       35.111
UOPQ_STAGE_STARVED_total_count,       5584435
UOPQ_STAGE_STARVED_total_pct,       40.557

UOPQ_STAGE_NOT_STARVED_count,       4230154
UOPQ_STAGE_NOT_STARVED_pct,       64.889
UOPQ_STAGE_NOT_STARVED_total_count,       8185043
UOPQ_STAGE_NOT_STARVED_total_pct,       59.443
UOPQ_STAGE_NOT_STARVED_sum_count,       6519017
UOPQ_STAGE_NOT_STARVED_sum_pct,      100.000
UOPQ_STAGE_NOT_STARVED_sum_total_count,      13769478
UOPQ_STAGE_NOT_STARVED_sum_total_pct,      100.000
