Core, 0
Cumulative Cycles, 4792484             
Cumulative Instructions, 20000000            
Cumulative IPC, 4.17320
Periodic Cycles, 2392743             
Periodic Instructions, 9999998             
Periodic IPC, 4.17930

EXECUTION_TIME_count,  747732187500
EXECUTION_TIME_total_count, 1497651250000

NODE_CYCLE_count,       2392743
NODE_CYCLE_total_count,       4792484

NODE_INST_COUNT_count,       9999998
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,       9999998
NODE_INST_COUNT_FETCHED_total_count,      20000000

NODE_UOP_COUNT_count,      10021203
NODE_UOP_COUNT_total_count,      20042575

FULL_WINDOW_STALL_count,        347097
FULL_WINDOW_STALL_pct,       14.506
FULL_WINDOW_STALL_total_count,        700219
FULL_WINDOW_STALL_total_pct,       14.611

FULL_WINDOW_MEM_OP_count,        113329
FULL_WINDOW_MEM_OP_pct,       46.502
FULL_WINDOW_MEM_OP_total_count,        221412
FULL_WINDOW_MEM_OP_total_pct,       45.270

FULL_WINDOW_FP_OP_count,        130378
FULL_WINDOW_FP_OP_pct,       53.498
FULL_WINDOW_FP_OP_total_count,        267685
FULL_WINDOW_FP_OP_total_pct,       54.730

FULL_WINDOW_OTHER_OP_count,             0
FULL_WINDOW_OTHER_OP_pct,        0.000
FULL_WINDOW_OTHER_OP_total_count,             0
FULL_WINDOW_OTHER_OP_total_pct,        0.000
FULL_WINDOW_OTHER_OP_sum_count,        243707
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,        489097
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.53
FULL_WINDOW_OTHER_OP_stddev,         0.34
FULL_WINDOW_OTHER_OP_total_mean,         0.55
FULL_WINDOW_OTHER_OP_total_stddev,         0.33

RET_BLOCKED_DC_MISS_count,        199460
RET_BLOCKED_DC_MISS_pct,        8.336
RET_BLOCKED_DC_MISS_total_count,        398390
RET_BLOCKED_DC_MISS_total_pct,        8.313

RET_BLOCKED_L1_MISS_count,         88804
RET_BLOCKED_L1_MISS_pct,        3.711
RET_BLOCKED_L1_MISS_total_count,        159292
RET_BLOCKED_L1_MISS_total_pct,        3.324

RET_BLOCKED_L1_MISS_BW_PREF_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.000
