Scarab gitrev: 3541854
Scarab started at Tue Oct  8 01:50:54 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000005 } -- 0.00 KIPS (250.00 KIPS)
** Heartbeat:  10% -- { 2000009 } -- 125.00 KIPS (166.67 KIPS)
** Heartbeat:  15% -- { 3000013 } -- 125.00 KIPS (150.00 KIPS)
** Heartbeat:  20% -- { 4000015 } -- 142.86 KIPS (148.15 KIPS)
** Heartbeat:  25% -- { 5000019 } -- 125.00 KIPS (142.86 KIPS)
** Heartbeat:  30% -- { 6000020 } -- 166.67 KIPS (146.34 KIPS)
** Heartbeat:  35% -- { 7000022 } -- 166.67 KIPS (148.94 KIPS)
** Heartbeat:  40% -- { 8000024 } -- 166.67 KIPS (150.94 KIPS)
** Heartbeat:  45% -- { 9000027 } -- 125.00 KIPS (147.54 KIPS)
** Heartbeat:  50% -- { 10000028 } -- 111.11 KIPS (142.86 KIPS)
** Heartbeat:  55% -- { 11000032 } -- 142.86 KIPS (142.86 KIPS)
** Heartbeat:  60% -- { 12000037 } -- 200.00 KIPS (146.34 KIPS)
** Heartbeat:  65% -- { 13000039 } -- 250.00 KIPS (151.16 KIPS)
** Heartbeat:  70% -- { 14000039 } -- 250.00 KIPS (155.56 KIPS)
** Heartbeat:  75% -- { 15000039 } -- 333.33 KIPS (161.29 KIPS)
** Heartbeat:  80% -- { 16000041 } -- 333.33 KIPS (166.67 KIPS)
** Heartbeat:  85% -- { 17000041 } -- 250.00 KIPS (170.00 KIPS)
** Heartbeat:  90% -- { 18000041 } -- 500.00 KIPS (176.47 KIPS)
** Heartbeat:  95% -- { 19000041 } -- 333.33 KIPS (180.95 KIPS)
** Core 0 Finished:    insts:20000002    cycles:14491516    time:4528598750000       -- 1.38 IPC (1.38 IPC) --  N/A  KIPS (186.92 KIPS)
Scarab finished at Tue Oct  8 01:52:41 2024

